system,count,accuracy,balanced_accuracy,precision,recall,f1,auc,fpr,fnr
Whole-image only,72,0.805556,0.84375,0.972222,0.729167,0.833333,0.856771,0.041667,0.270833
Whole + transformations,72,0.805556,0.84375,0.972222,0.729167,0.833333,0.862847,0.041667,0.270833
Whole + patch analysis,72,0.805556,0.84375,0.972222,0.729167,0.833333,0.853299,0.041667,0.270833
Complete fused system,72,0.805556,0.84375,0.972222,0.729167,0.833333,0.852431,0.041667,0.270833
